avg_r, step
10,0
9,1
9,2
10,3
21,4
10,5
10,6
11,7
11,8
8,9
9,10
9,11
11,12
8,13
10,14
11,15
10,16
10,17
10,18
12,19
9,20
9,21
10,22
12,23
10,24
10,25
11,26
10,27
9,28
10,29
12,30
10,31
10,32
8,33
14,34
11,35
9,36
12,37
10,38
10,39
10,40
11,41
12,42
14,43
11,44
11,45
8,46
9,47
8,48
8,49
10,50
9,51
11,52
10,53
10,54
10,55
10,56
10,57
9,58
9,59
9,60
16,61
11,62
13,63
10,64
19,65
10,66
17,67
15,68
10,69
9,70
12,71
10,72
10,73
8,74
11,75
9,76
10,77
12,78
10,79
9,80
10,81
11,82
10,83
11,84
10,85
11,86
10,87
10,88
8,89
10,90
13,91
9,92
10,93
9,94
11,95
10,96
9,97
19,98
9,99
13,100
14,101
9,102
9,103
11,104
11,105
9,106
10,107
8,108
10,109
12,110
10,111
10,112
11,113
10,114
15,115
9,116
9,117
8,118
9,119
10,120
23,121
13,122
9,123
10,124
10,125
14,126
11,127
8,128
10,129
10,130
10,131
10,132
10,133
21,134
9,135
11,136
9,137
10,138
13,139
10,140
10,141
11,142
10,143
11,144
11,145
10,146
9,147
10,148
12,149
13,150
14,151
12,152
12,153
11,154
11,155
17,156
11,157
12,158
11,159
11,160
8,161
25,162
11,163
12,164
12,165
10,166
14,167
18,168
10,169
18,170
22,171
12,172
9,173
14,174
11,175
11,176
14,177
15,178
11,179
10,180
12,181
11,182
8,183
13,184
11,185
11,186
11,187
9,188
10,189
15,190
10,191
9,192
11,193
11,194
11,195
10,196
8,197
11,198
10,199
15,200
10,201
14,202
9,203
10,204
13,205
10,206
11,207
29,208
9,209
13,210
9,211
13,212
10,213
11,214
9,215
9,216
11,217
9,218
10,219
17,220
9,221
10,222
10,223
9,224
15,225
10,226
10,227
10,228
10,229
13,230
9,231
10,232
9,233
9,234
11,235
12,236
9,237
8,238
9,239
9,240
12,241
11,242
10,243
27,244
10,245
17,246
9,247
10,248
13,249
15,250
10,251
8,252
10,253
10,254
10,255
12,256
18,257
10,258
10,259
10,260
