state, action, reward
1.032;0.0101;0.4747;0.5152;0.0007;0.0313;0.034,90;120;95,1.068
0.768;0.0814;0.4884;0.4302;0.0047;0.028;0.0247,105;65;70,0.888
1.128;0.0485;0.4951;0.4563;0.0033;0.034;0.0313,120;60;85,0.924
0.924;0.039;0.5065;0.4545;0.002;0.026;0.0233,65;80;30,0.912
1.068;0.0465;0.4767;0.4767;0.0027;0.0273;0.0273,40;70;110,0.96
0.996;0.061;0.4878;0.4512;0.0033;0.0267;0.0247,100;30;105,0.888
1.044;0.0471;0.5294;0.4235;0.0027;0.03;0.024,70;100;110,0.924
1.152;0.1463;0.4472;0.4065;0.012;0.0367;0.0333,120;115;120,0.9
1.008;0.0233;0.4767;0.5;0.0013;0.0273;0.0287,45;30;110,0.912
0.696;0.0513;0.4487;0.5;0.0027;0.0233;0.026,40;110;100,0.864
1.104;0.0392;0.5294;0.4314;0.0027;0.036;0.0293,115;85;50,0.888
0.84;0.0;0.525;0.475;0.0;0.028;0.0253,80;65;95,0.972
0.768;0.011;0.4615;0.5275;0.0007;0.028;0.032,80;80;45,0.828
1.02;0.0118;0.5059;0.4824;0.0007;0.0287;0.0273,120;120;30,0.912
1.044;0.0;0.4935;0.5065;0.0;0.0253;0.026,100;30;70,1.14
1.176;0.0513;0.4701;0.4786;0.004;0.0367;0.0373,95;115;95,0.936
1.056;0.1068;0.4854;0.4078;0.0073;0.0333;0.028,60;105;120,0.792
1.104;0.0421;0.5053;0.4526;0.0027;0.032;0.0287,90;80;100,1.008
0.744;0.0581;0.4767;0.4651;0.0033;0.0273;0.0267,60;120;120,0.816
0.996;0.0353;0.4588;0.5059;0.002;0.026;0.0287,40;80;40,0.924
0.732;0.0423;0.507;0.4507;0.002;0.024;0.0213,65;65;65,0.9
1.14;0.0625;0.5089;0.4286;0.0047;0.038;0.032,85;115;100,0.984
0.924;0.0865;0.4423;0.4712;0.006;0.0307;0.0327,30;50;70,0.78
0.972;0.0247;0.4815;0.4938;0.0013;0.026;0.0267,75;35;110,0.924
1.068;0.0833;0.5093;0.4074;0.006;0.0367;0.0293,95;65;35,0.864
1.08;0.0;0.5065;0.4935;0.0;0.026;0.0253,90;75;115,0.876
0.96;0.0375;0.525;0.4375;0.002;0.028;0.0233,65;70;70,0.912
0.912;0.0421;0.5053;0.4526;0.0027;0.032;0.0287,55;30;100,0.768
1.044;0.0208;0.5;0.4792;0.0013;0.032;0.0307,45;85;55,0.924
0.78;0.033;0.4725;0.4945;0.002;0.0287;0.03,120;95;70,0.888
1.044;0.0118;0.5059;0.4824;0.0007;0.0287;0.0273,105;80;45,0.924
0.768;0.0;0.4884;0.5116;0.0;0.028;0.0293,85;60;30,0.816
0.996;0.0617;0.4815;0.4568;0.0033;0.026;0.0247,65;80;35,0.96
0.888;0.0645;0.5054;0.4301;0.004;0.0313;0.0267,110;45;80,0.804
