avg_r, step
10,0
9,1
11,2
10,3
11,4
11,5
8,6
10,7
10,8
11,9
11,10
10,11
10,12
11,13
11,14
10,15
11,16
9,17
9,18
10,19
9,20
9,21
8,22
8,23
9,24
9,25
10,26
11,27
10,28
9,29
10,30
8,31
9,32
11,33
10,34
10,35
11,36
9,37
10,38
8,39
10,40
10,41
10,42
9,43
9,44
10,45
9,46
9,47
10,48
10,49
10,50
8,51
12,52
9,53
9,54
9,55
12,56
9,57
9,58
10,59
9,60
10,61
9,62
10,63
9,64
9,65
10,66
10,67
10,68
11,69
10,70
9,71
10,72
10,73
11,74
12,75
9,76
9,77
9,78
9,79
11,80
12,81
9,82
8,83
12,84
9,85
10,86
9,87
9,88
11,89
10,90
9,91
11,92
9,93
8,94
8,95
12,96
9,97
9,98
10,99
11,100
9,101
11,102
10,103
10,104
10,105
10,106
10,107
10,108
8,109
8,110
10,111
10,112
10,113
9,114
11,115
10,116
9,117
8,118
8,119
10,120
11,121
9,122
11,123
9,124
10,125
11,126
12,127
9,128
8,129
10,130
9,131
10,132
10,133
10,134
9,135
9,136
10,137
9,138
11,139
9,140
10,141
10,142
10,143
9,144
10,145
10,146
10,147
8,148
11,149
9,150
22,151
12,152
20,153
9,154
17,155
20,156
13,157
14,158
10,159
19,160
28,161
10,162
9,163
10,164
11,165
10,166
10,167
11,168
12,169
10,170
14,171
13,172
15,173
28,174
13,175
11,176
25,177
15,178
11,179
14,180
15,181
25,182
27,183
25,184
11,185
15,186
29,187
11,188
12,189
12,190
28,191
10,192
9,193
33,194
31,195
36,196
25,197
13,198
41,199
39,200
9,201
12,202
37,203
16,204
12,205
13,206
14,207
27,208
16,209
39,210
12,211
10,212
15,213
18,214
9,215
35,216
43,217
12,218
40,219
13,220
18,221
12,222
13,223
10,224
10,225
11,226
10,227
13,228
18,229
14,230
19,231
22,232
16,233
12,234
26,235
12,236
12,237
11,238
20,239
22,240
16,241
12,242
14,243
15,244
14,245
12,246
18,247
14,248
16,249
16,250
14,251
16,252
20,253
13,254
11,255
16,256
14,257
12,258
13,259
9,260
