avg_r, step
19,601
19,602
10,603
17,604
29,605
20,606
23,607
15,608
17,609
12,610
23,611
25,612
17,613
19,614
24,615
15,616
27,617
27,618
16,619
14,620
16,621
20,622
9,623
16,624
20,625
16,626
17,627
18,628
15,629
16,630
13,631
8,632
20,633
14,634
13,635
17,636
16,637
10,638
13,639
16,640
19,641
17,642
20,643
16,644
19,645
14,646
17,647
16,648
12,649
19,650
23,651
15,652
15,653
17,654
20,655
12,656
12,657
12,658
19,659
25,660
21,661
20,662
16,663
19,664
14,665
12,666
17,667
17,668
16,669
16,670
23,671
21,672
18,673
20,674
22,675
16,676
11,677
17,678
18,679
18,680
16,681
19,682
18,683
19,684
19,685
18,686
20,687
16,688
17,689
15,690
23,691
8,692
11,693
17,694
15,695
16,696
18,697
20,698
14,699
23,700
19,701
14,702
29,703
20,704
9,705
23,706
8,707
20,708
14,709
24,710
16,711
13,712
12,713
28,714
18,715
18,716
12,717
13,718
14,719
18,720
14,721
23,722
11,723
16,724
28,725
