time, t, R, r, q, v, a, l, step
===========================================2019-08-06 20:44:18.251193
2019-08-06_20h-52m-32s,201,202.884,1.0144199999999999,123.85597205385565,123.85597205385565,-1.8823877093195915,0.033258978543803094,200
2019-08-06_21h-0m-48s,401,202.692,1.01346,317.6364937744141,317.6364937744141,-0.661814862728119,0.008144351962953805,200
2019-08-06_21h-9m-5s,601,202.476,1.01238,510.61890332031254,510.61890332031254,-0.1606427056491375,0.00859497932717204,200
2019-08-06_21h-17m-18s,801,200.68800000000002,1.00344,705.5638498535156,705.5638498535156,-0.11245527683198453,0.008679740078747273,200
2019-08-06_21h-25m-35s,1001,201.99599999999998,1.0099799999999999,894.0667744140625,894.0667744140625,-0.11855235488712787,0.008528190523386003,200
2019-08-06_21h-33m-51s,1201,202.512,1.01256,1077.7552202148438,1077.7552202148438,-0.19782333682477474,0.008484456200152635,200
2019-08-06_21h-42m-7s,1401,201.756,1.00878,1257.5325756835937,1257.5325756835937,-0.3500331067442894,0.0083825522698462,200
2019-08-06_21h-50m-26s,1601,203.616,1.01808,1433.9179868164063,1433.9179868164063,-0.3452366632819176,0.008407453089952468,200
2019-08-06_21h-58m-43s,1801,201.744,1.00872,1606.7820830078124,1606.7820830078124,-0.34507906913757325,0.00848683624342084,200
2019-08-06_22h-7m-4s,2001,201.324,1.00662,1775.9684013671874,1775.9684013671874,-0.30335815793275833,0.008535242933779955,200
2019-08-06_22h-15m-23s,2201,203.06400000000002,1.01532,1941.819142578125,1941.819142578125,-0.26426527872681616,0.008524368509650231,200
2019-08-06_22h-23m-41s,2401,203.31600000000003,1.0165800000000003,2104.409890625,2104.409890625,-0.2986785608530044,0.008542161624878645,200
2019-08-06_22h-31m-58s,2601,203.18400000000003,1.0159200000000002,2263.869080078125,2263.869080078125,-0.3365698246359825,0.008535162065178157,200
2019-08-06_22h-40m-19s,2801,201.996,1.00998,2420.4078935546872,2420.4078935546872,-0.34438462322950364,0.008493376184254884,200
2019-08-06_22h-48m-38s,3001,202.548,1.01274,2573.79944140625,2573.79944140625,-0.3179186217188835,0.00854484549537301,200
2019-08-06_22h-56m-59s,3201,201.43200000000002,1.00716,2723.9199843750002,2723.9199843750002,-0.2918672579526901,0.008523179993033408,200
2019-08-06_23h-5m-18s,3401,201.97200000000004,1.0098600000000002,2870.989681640625,2870.989681640625,-0.26406747102737427,0.008472154833376409,200
2019-08-06_23h-13m-49s,3601,200.484,1.00242,3015.190510742187,3015.190510742187,-0.29060892379283904,0.008447953276336193,200
2019-08-06_23h-22m-10s,3801,202.89600000000002,1.01448,3156.3608076171877,3156.3608076171877,-0.25385884153842925,0.008454979978501797,200
2019-08-06_23h-30m-31s,4001,202.464,1.0123199999999999,3294.828173828125,3294.828173828125,-0.26710724595189095,0.008498174153268336,200
2019-08-06_23h-38m-55s,4201,203.268,1.01634,3430.6025078125,3430.6025078125,-0.2675998783707619,0.008552838344126939,200
2019-08-06_23h-47m-14s,4401,201.76800000000003,1.0088400000000002,3563.5498730468753,3563.5498730468753,-0.2158152755498886,0.008462437264621257,200
2019-08-06_23h-55m-36s,4601,201.55200000000002,1.0077600000000002,3693.9701953124995,3693.9701953124995,-0.24354487118124962,0.008475398246198893,200
2019-08-07_0h-4m-6s,4801,201.036,1.00518,3821.7739003906254,3821.7739003906254,-0.24399302163720132,0.008461752600967884,200
2019-08-07_0h-12m-29s,5001,203.256,1.01628,3947.009818359375,3947.009818359375,-0.2345645664036274,0.008489897832274437,200
2019-08-07_0h-20m-52s,5201,202.344,1.01172,4069.732451171875,4069.732451171875,-0.23005166375637054,0.008493767708539962,200
2019-08-07_0h-29m-14s,5401,201.768,1.00884,4190.02858203125,4190.02858203125,-0.20380780923366548,0.00846051947772503,200
2019-08-07_0h-37m-39s,5601,201.264,1.00632,4307.9756054687505,4307.9756054687505,-0.2339273924231529,0.008499813370406627,200
2019-08-07_0h-46m-5s,5801,202.656,1.01328,4423.534630859374,4423.534630859374,-0.2538666173517704,0.008565638579428197,200
2019-08-07_0h-54m-33s,6001,203.184,1.01592,4536.8582675781245,4536.8582675781245,-0.18002058531343937,0.00853741117566824,200
2019-08-07_1h-2m-57s,6201,201.45600000000002,1.0072800000000002,4647.813765625,4647.813765625,-0.19943368430435657,0.008456766683608294,200
2019-08-07_1h-11m-27s,6401,201.99599999999998,1.0099799999999999,4756.651263671874,4756.651263671874,-0.20713183040916922,0.008533828802406789,200
2019-08-07_1h-19m-54s,6601,201.77999999999997,1.0089,4863.23802734375,4863.23802734375,-0.18578730891644954,0.008570457626134158,200
2019-08-07_1h-28m-22s,6801,201.63600000000002,1.00818,4967.729337890625,4967.729337890625,-0.1788427984789014,0.008531102154403924,200
2019-08-07_1h-36m-53s,7001,202.44,1.0122,5070.139306640625,5070.139306640625,-0.16077559515088796,0.008560907453298568,200
2019-08-07_1h-45m-18s,7201,201.50400000000002,1.0075200000000002,5170.395052734375,5170.395052734375,-0.1330235550701618,0.00851503086835146,200
2019-08-07_1h-53m-47s,7401,202.07999999999998,1.0104,5268.699939453125,5268.699939453125,-0.13634660229459405,0.008442505586892367,200
2019-08-07_2h-2m-15s,7601,202.812,1.01406,5364.9446953125,5364.9446953125,-0.1211936974823475,0.00850293020531535,200
2019-08-07_2h-10m-46s,7801,202.764,1.01382,5459.358380859375,5459.358380859375,-0.12132470060884952,0.008486705832183361,200
2019-08-07_2h-19m-13s,8001,202.512,1.01256,5551.852734375,5551.852734375,-0.1293867252767086,0.008452264703810216,200
2019-08-07_2h-27m-45s,8201,201.252,1.0062600000000002,5642.639011718749,5642.639011718749,-0.1423246377557516,0.008434063866734506,200
2019-08-07_2h-36m-16s,8401,202.56,1.0128,5731.601923828125,5731.601923828125,-0.11938812247663737,0.008432522032409906,200
2019-08-07_2h-44m-46s,8601,202.428,1.01214,5818.819134765625,5818.819134765625,-0.13019337575882672,0.008488210447132587,200
2019-08-07_2h-53m-18s,8801,202.776,1.0138800000000001,5904.362306640625,5904.362306640625,-0.16408219470828772,0.008462107971310615,200
2019-08-07_3h-1m-51s,9001,202.38,1.0119,5988.122759765625,5988.122759765625,-0.17412025736272335,0.008455755781382322,200
2019-08-07_3h-10m-25s,9201,203.06400000000002,1.01532,6070.3028203125,6070.3028203125,-0.15798290402442217,0.008499888017773629,200
2019-08-07_3h-18m-57s,9401,202.596,1.01298,6150.77582421875,6150.77582421875,-0.12040739773772657,0.008474550493061544,200
2019-08-07_3h-27m-29s,9601,201.756,1.00878,6229.68982421875,6229.68982421875,-0.10913874999620021,0.008494461286813021,200
2019-08-07_3h-36m-5s,9801,202.524,1.01262,6307.075041015625,6307.075041015625,-0.14699709945172074,0.008537976570427418,200
2019-08-07_3h-44m-38s,10001,202.93200000000002,1.0146600000000001,6383.04128125,6383.04128125,-0.16492910478264095,0.008496208332478999,200
2019-08-07_3h-54m-32s,10201,199.74,0.9987,6457.45673828125,6457.45673828125,-0.1813013919740915,0.00844205293431878,200
2019-08-07_4h-3m-4s,10401,202.188,1.01094,6530.39034765625,6530.39034765625,-0.1734717129021883,0.008508760150521993,200
2019-08-07_4h-11m-39s,10601,201.168,1.00584,6601.801867187501,6601.801867187501,-0.13101752208173273,0.008413287170231343,200
2019-08-07_4h-20m-11s,10801,203.424,1.01712,6671.77478515625,6671.77478515625,-0.14379690191149713,0.008466104235500097,200
2019-08-07_4h-28m-47s,11001,201.936,1.0096800000000001,6740.40984375,6740.40984375,-0.14528314231336117,0.008446216396987439,200
2019-08-07_4h-37m-28s,11201,201.94799999999998,1.0097399999999999,6807.6466484375005,6807.6466484375005,-0.1234422304108739,0.008403540983796118,200
2019-08-07_4h-46m-6s,11401,201.56400000000002,1.0078200000000002,6873.5959609375,6873.5959609375,-0.13577198738604784,0.008432515822350979,200
2019-08-07_4h-54m-44s,11601,202.308,1.0115399999999999,6938.18290234375,6938.18290234375,-0.09175548138469458,0.008411533422768116,200
2019-08-07_5h-3m-19s,11801,200.904,1.00452,7001.4726015625,7001.4726015625,-0.1396254896223545,0.00842716947570443,200
2019-08-07_5h-11m-57s,12001,201.324,1.00662,7063.48123828125,7063.48123828125,-0.1479814700782299,0.008383084017783402,200
2019-08-07_5h-20m-34s,12201,202.332,1.01166,7124.3043203125,7124.3043203125,-0.11852198451757431,0.008430804926902055,200
2019-08-07_5h-29m-10s,12401,201.86399999999998,1.0093199999999998,7183.979957031251,7183.979957031251,-0.14860432614386082,0.008423456117510796,200
2019-08-07_5h-37m-51s,12601,201.82800000000003,1.0091400000000001,7242.3917265625005,7242.3917265625005,-0.13947831588983534,0.008412013024091721,200
2019-08-07_5h-46m-31s,12801,203.112,1.01556,7299.6813164062505,7299.6813164062505,-0.17465328998863697,0.00846476412564516,200
2019-08-07_5h-55m-12s,13001,201.63600000000002,1.00818,7355.8149218749995,7355.8149218749995,-0.11735077476501465,0.008459709096699953,200
2019-08-07_6h-3m-51s,13201,203.84400000000002,1.01922,7410.837406250001,7410.837406250001,-0.11853821755945682,0.00847809837758541,200
2019-08-07_6h-12m-36s,13401,200.856,1.00428,7464.850625000001,7464.850625000001,-0.11367715724930168,0.008445077046751976,200
2019-08-07_6h-21m-16s,13601,201.94800000000004,1.00974,7517.6546328125,7517.6546328125,-0.11388214304298164,0.008456942614167929,200
2019-08-07_6h-29m-53s,13801,201.83999999999997,1.0091999999999999,7569.53129296875,7569.53129296875,-0.1246816790960729,0.008481863826513291,200
